osm id,name,addrcity,addrcity,source,addrstreet,type
413574544,Ol Dubai Public Campsite,,,,,camp_site
472267375,Makalia Falls Public Campsite,,,,,camp_site
526772083,Crayfish Camp,,,,,camp_site
604235545,Endarasha Special Campsite,,,,,camp_site
604235546,Bird Hide,,,,,camp_site
611097626,Reedbuck Public Campsite,Aberdare National Park,Aberdare National Park,,,camp_site
611122058,Robert's Camp,Upper Kaptelit,Upper Kaptelit,,Roberts Camp Road,camp_site
611224149,Kisumu Beach Resort,,,,,camp_site
611231207,Twiga Lodge,Tiwi Beach,Tiwi Beach,,Twiga Lodge Road,camp_site
611257502,Public Campsite,,,,,camp_site
612933248,Moses Rock,,,,,camp_site
653500198,Top Camp,,,,,camp_site
653678347,Lake Ellis,,,,,camp_site
653815408,Two Tarns,,,,,camp_site
1003169235,Lewa Safari Camp,,,,,camp_site
1073671471,Oloongonot Campsite,Mount Longonot National park,Mount Longonot National park,,,camp_site
1170057726,Olololo Gate Public Camping,,,,,camp_site
1172857222,Kakamega Forest Resthouse & Campsite,Kakamega South,Kakamega South,,,camp_site
1172857367,Udo's Camping and Bandas,,,,,camp_site
1263317089,Zephania Nyumba Kino caves,,,,,camp_site
1307585480,Mara Siria,,,,,camp_site
1401341951,Oldarpoi Maasai Safari Camp,,,,,camp_site
1403875319,Kembu Campsite,,,,,camp_site
1407344986,Thomson Falls Campsite,,,,,camp_site
1412485444,Umoja Camp Site,,,,,camp_site
1413593270,Samburu Public Campsite,,,,Samburu National Reserve,camp_site
1614128683,Dorobo campsite,,,,,camp_site
1673961554,Mara Bush Camp,,,,,camp_site
1711148636,Ndololo Camp,,,,,camp_site
1830696608,Offbeat Meru Tented Camp,,,,,camp_site
2235640559,Sarara,,,,,camp_site
2368200468,Sandai - African Footprints Ltd. - Camping,,,,,camp_site
2388669890,Bantu Lodge,,,,,camp_site
2388711521,KWS campsite,,,,,camp_site
2440123282,Salato Women's Group Campsite,,,,,camp_site
2440123283,Seriak Camp,,,,,camp_site
2485700390,Savage Wilderness,,,,,camp_site
2485704405,Rapids Camp,,,,,camp_site
2485748367,Liki North,,,,,camp_site
2520780705,Camp Henry Marsabit,,,,,camp_site
2534844409,Ebenezer Guest House,,,,,camp_site
2555524337,Fisherman's Camp,,,,,camp_site
2705311118,Ol Kirimatian Conservancy Camp Site,,,,,camp_site
2807962879,Manyatta Backpackers & Safari,,,,,camp_site
2824918101,Tuliahouse Backpackers,,,,,camp_site
2883946215,Outward Bound,,,,,camp_site
3255775096,Palm Shade Camp,Loiyangalani,Loiyangalani,,Loiyangalani,camp_site
3255781416,Samburu Sports Centre,South Horr,South Horr,,,camp_site
3255789861,Yare Safari Lodge,Maralal,Maralal,,,camp_site
3255829622,Ocean Sports,Watamu,Watamu,,,camp_site
3259511989,Bush camp Lake Turkana,,,,,camp_site
3268554774,Bush camp Naiberi River,,,,,camp_site
3273645731,Eldoret River Camp,,,,,camp_site
3273650182,Bush camp Samburu,,,,,camp_site
3369973793,Tiva River Campsite,,,,,camp_site
3392340305,Bondhei Campsite,,,,,camp_site
3392340306,Camel Trekking Base Camp,,,,,camp_site
3392340308,Aruba Mara Campsite,,,,,camp_site
3548521037,Meltingpot Bush Camp,,,,,camp_site
3612612106,Kananga River Camp,,,,,camp_site
3775113694,Intrepid Camp,,,,,camp_site
4154163891,The Comfort Hotel Camping,,,,,camp_site
4193481425,kk security,,,,,camp_site
4284318379,Ratpanat safari camp,,,,,camp_site
4284546642,Leisure Camp,,,,,camp_site
4284586405,Balloon Safaris Camp,,,,,camp_site
4313264837,Lgoita Rocks Campsite,,,,Kalama Conservancy,camp_site
4313392591,Lbaa Campsite,,,,Kalama Conservancy,camp_site
4313428089,Belindas Campsite,,,,,camp_site
4313439489,Westgate Conservancy HQ Campsite,,,,,camp_site
4314330391,Naibunga Conservancy Sunyai Campsite,,,,Naibunga Conservancy,camp_site
4314332090,Tiemamut Campsite,,,,Naibunga Conservancy,camp_site
4314362690,Naibunga Conservancy Wakumbe Hills Campsite,,,,Naibunga Conservancy,camp_site
4314394790,Il Polei Campsite,,,,Naibunga Conservancy,camp_site
4316030085,Lake Paradise Alternate Campsite,,,,,camp_site
4316052076,Nakuprat - Gotu Jeremy's Campsite,Nakuprat Gotu,Nakuprat Gotu,,Shaba-Nakuprat-Gotu Road,camp_site
4317246654,Chyulu Hills Satellite Campsite,,,,Chyulu Hills National Park,camp_site
4317254700,Chyulu Hills HQ Campsite,,,,Chyulu Hills National Park,camp_site
4318612874,Lelin Overland Campsite,,,,Iten,camp_site
4318624690,Lake Bogoria Clifftop Campsite,Lake Bogoria,Lake Bogoria,,Lake Bogora National Reserve,camp_site
4321113933,Lake Elementaita Lodge Campsite,Gilgil,Gilgil,,Nairobi-Nakuru Road,camp_site
4323544312,Crater Lake Sanctuary Campsite,,,,,camp_site
4323613157,Kisula Caves Campsite,,,,Chyulu Hills National Park,camp_site
4328204238,Possible Campsite,,,,,camp_site
4349423260,Naiburta Public Campsite,Hells Gate National Park,Hells Gate National Park,,,camp_site
4401055253,Kimana Campsite,,,,,camp_site
4401061204,Wildebeest Eco Camp,,,,,camp_site
4401061707,Sandai Farm Campsite,,,,,camp_site
4401073939,Takashack Campsite,,,,,camp_site
4401078978,Kakamega Forest Resthouse & Campsite,,,,,camp_site
4403978500,Sera Conservancy - Tumot Campsite,Sera Conservancy,Sera Conservancy,,Sera Conservancy,camp_site
4403979742,Sera Conservancy - Rhino Sanctuary Campsite,,,,Sera Conservancy,camp_site
4404040918,Sera Conservancy - Olosuwan Campsite,Sera Conservancy,Sera Conservancy,,Sera Conservancy,camp_site
4404296792,Lpus Campsite,,,,Kalama Conservancy,camp_site
4404305731,Kalama Campsite,,,,,camp_site
4404305732,Campsite,,,,,camp_site
4405282195,Lenchada Tourist Camp,,,,,camp_site
4419387390,NVA - Carnelly's Camp,,,,,camp_site
4461779462,Kitich Campsite,,,,Namunyak Conservancy,camp_site
4461829974,Debrazza Campsite,Namunyak Conservancy 2,Namunyak Conservancy 3,,Namunyak Conservancy,camp_site
4472263285,Mukogodo Forest Nikijabe Campsite,Mukogodo Forest,Mukogodo Forest,,Mukogodo Forest,camp_site
4472302813,Mukogodo Forest Sarara Campsite,Mukogodo Forest,Mukogodo Forest,,,camp_site
4472313956,Dirisha Private Campsite,Mara Triangle,Mara Triangle,,,camp_site
4472316741,Kiboko Private Campsite,Mara Triangle,Mara Triangle,,,camp_site
4472317288,Olarro Private Campsite,Mara Triangle,Mara Triangle,,,camp_site
4472318363,Maji Ya Ndege Private Campsite,Mara Triangle,Mara Triangle,,,camp_site
4472318533,Ndovu Private Campsite,Mara Triangle,Mara Triangle,,,camp_site
4472323068,Kishanga Private Campsite,Mara Triangle,Mara Triangle,,,camp_site
4472363885,Lakeview Campsite,Mount Longonot National Park,Mount Longonot National Park,,,camp_site
4472383602,Wedding Site Campsite,Naivasha,Naivasha,,Crater Lake Sanctuary,camp_site
4472392473,Gazebo Campsite,Naivasha,Naivasha,,Crater Lake Sanctuary,camp_site
4472438238,Shaba Robin Hurts Campsite,Shaba National Reserve,Shaba National Reserve,,,camp_site
4499345130,Ndololo Public Campsite,,,,,camp_site
4504185692,Lenchanda,,,,,camp_site
4531539892,Oloiden Campsite,,,,,camp_site
4531585290,Lake Naivasha YMCA Camp,,,,,camp_site
4558018791,Rovera Camps,,,,,camp_site
4558676389,Rovers Camp,,,,,camp_site
4717806810,Amboseli Bush Camp,,,,,camp_site
4727798889,KWS campsite,,,,,camp_site
4745347125,Dunga Hill Camp,,,,,camp_site
4745407921,Tea hotel campsite,,,,,camp_site
4796387021,Lake Jipe Bandas & Campsite,,,,Tsavo West National Park,camp_site
4796703621,Kamboyo Campsite (Tsavo West),,,,,camp_site
4801260341,Masai Eco Lodge,,,,,camp_site
4801332154,Olgulului Campsite,,,,,camp_site
4830475521,Olgulului Group Ranch Campsite,,,,Amboseli National Park,camp_site
4911023041,Kipipiri Camp,,,,,camp_site
4916777457,Choka Camp,,,,,camp_site
4979289985,Megalith Camp,,,,,camp_site
4999732927,Rongai community campsite,,,,,camp_site
4999977558,Uhuru Camp,,,,,camp_site
5006922621,Kami Campsite,,,,,camp_site
5127991022,Kalacha AIC Campsite,,,,,camp_site
5128207727,Lake Paradise Special Campsite,,,,,camp_site
5152284490,Campi Ya Arusi,,,,,camp_site
5159549569,Nyati Campsite,,,,,camp_site
5159549570,Bongo Campsite,,,,,camp_site
5176278341,Mwea NR Mavuria Special Campsite,,,,,camp_site
5176278349,Mwea NR Hippo Point Campsite,,,,,camp_site
5181177803,Mwea NR Campsite,,,,,camp_site
5181205209,Mwea NR Sylvester Campsite,,,,,camp_site
5218355083,Acacia Campsite,Lake Bogoria NR,Lake Bogoria NR,,Lake Bogoria NR,camp_site
5218380239,Saiwa Swamp Campsite,,,,,camp_site
5218395864,Shaba Daku Dima Special Campsite,Shaba NR,Shaba NR,,Shaba NR,camp_site
5218418255,Lake Bogoria Figtree Campsite,,,,,camp_site
5218418298,Shaba Funan Special Campsite,Shaba NR,Shaba NR,,Shaba NR,camp_site
5221253156,Kudu Hills Nature Park,,,,,camp_site
5224484423,Peninsula,,,,,camp_site
5240581708,Melako Conservancy - Laisamis Campsite,Laisamis,Laisamis,,,camp_site
5240581709,Melako Conservancy - Ol Choro Campsite,Melako,Melako,,Melako,camp_site
5327035897,Lalanasi Lodge & Tented Camp,,,,,camp_site
5327232215,Lake Bogoria Lake Campsite,,,,,camp_site
5334376522,Kamanga,,,,,camp_site
5363715423,Loisaba Acacia Campsite,,,,,camp_site
5385299224,Gikururu Public Campsite,,,,,camp_site
5434424069,Crocodile Camping,,,,,camp_site
5464301039,Netbon Kudu Campsite,,,,,camp_site
5468843521,campsite by waterfall in Borana,,,,,camp_site
5471519723,Pan paper,,,,,camp_site
5488894540,Mackinder Camping,,,,,camp_site
5488894630,Lake Michaelson,,,,,camp_site
5555616491,Ruma Park Public Campsite,,,,,camp_site
5564866323,Ngong camp junction,,,,,camp_site
5573047123,Kabete,,,,,camp_site
5586017821,Ngong Sports,,,,,camp_site
5587181725,Ngong,,,,,camp_site
5591697958,Fish Eagle,,,,,camp_site
5639833622,Lake Bogoria Lakeside Campsite,,,,Marigat-Loboi Road,camp_site
5786381453,Kitich Campsite #2,,,,,camp_site
5861375492,Koros Camp,,,,,camp_site
5915131585,Elerai Campsite - Kimana Sanctuary,,,,,camp_site
5927044304,Oltepesi Campsite - Kimana Sanctuary,,,,,camp_site
5928527254,Olchani Campsite,,,,,camp_site
6015135885,My spot,,,,,camp_site
6052116985,Hill campsite in shampole reserve,,,,,camp_site
6054980225,Kisa Adventures,,,,Nairobi - Nakuru Road,camp_site
6066246753,Maasai Mara University,,,,,camp_site
6070052119,Ziwa bush lodge,,,,,camp_site
6079543966,view point campsite,Homa Bay,Homa Bay,,Homa Bay-Mbita Road,camp_site
6116638605,Red Hill Camp Site,Redhill,Redhill,,Limuru Road,camp_site
6153762485,Ngare Ndare Campsite,,,,,camp_site
6191766003,Nyaburu Chief Camp,,,,,camp_site
6232984471,Tizi campsite,Namanga,Namanga,,Athi River-Namanga Road,camp_site
6244921241,Camp Mahon Gardens,Nanyuki,Nanyuki,,Nyeri-Nanyuki Road,camp_site
6302200967,Ol Lerai Campsite,,,,,camp_site
6302200983,Ewaso Camp Site,,,,,camp_site
6302777192,Hippo Camp Site,,,,,camp_site
6347038785,The use-less center Sanctuary Farm,,,,South Lake Road,camp_site
6347038985,The Use-Less Center,,,,South Lake Road,camp_site
6362111744,Reedbuck Public Campsite 2,,,,,camp_site
6369505985,The Use-Less Center,,,,South Lake Road,camp_site
6416097187,Eluai Public Campsite,,,,,camp_site
6576670586,Tumelewaa camp,,,,,camp_site
6611964486,Talek Bush Camp,,,,C14,camp_site
6679957286,Ewaso Campsite,,,,,camp_site
6709381965,Kichaka Glamping,Bisil,Bisil,,,camp_site
6709385686,Kichaka Farm House,,,,,camp_site
6712203786,KWS campsite,,,,,camp_site
6721083885,Samburu public,,,,,camp_site
6742582588,Swara camp,,,,,camp_site
6745557825,Mtelo View Eco Lodge,,,,,camp_site
6905900387,She'gadia,Karagita,Karagita,,Moi S Lake Road,camp_site
6912769752,Duara Flamingo,,,,,camp_site
6929558385,Old camp,,,,,camp_site
6934979085,IED,,,,,camp_site
6980137685,Bsp start,,,,,camp_site
7077573301,Sabache Camp,,,,,camp_site
7193063385,Chokka gate campsite,,,,,camp_site
7211604542,Women's Camp,,,,,camp_site
7217945888,"ArdhaJilla Campsite and Recreation, Sololo",,,,,camp_site
7247261585,Hassan Kohot,,,,,camp_site
7260816585,ArdhaJilla Campsite,,,,,camp_site
7887411671,Maili Saba,,,,Road to Maili Saba,camp_site
7954446285,Zebra Plains Mara Camp,,,,,camp_site
7994528687,Mount Kenya Eco Resource,,,,,camp_site
7994528688,Mwea main camping spot,,,,,camp_site
7994544485,Oseki camp,,,,,camp_site
8006995609,Kikopey Beach Camp,,,,,camp_site
8015923385,Mara Explorers,,,,,camp_site
8068954585,Black Eye Camping site,,,,,camp_site
8071675517,WE4Kenya,,,,,camp_site
8195833118,Mida Eco Camp,,,,,camp_site
8266434293,Oloolua Nature Trail Camping site,,,,,camp_site
8319498149,KWS Outpost Campsite,,,,,camp_site
8891993218,Elui Hut special campsite,,,,,camp_site
8911683317,Lugard Falls campsite,,,,,camp_site
8929071717,Enkorok Mara Camp,,,,,camp_site
9186497020,Heshima Best Camping,,,,,camp_site
9186497021,Lions Cave Camp,,,,,camp_site
9223835617,James's Tiva Campsite,,,,,camp_site
9223838317,Pool house,,,,,camp_site
9281111120,Iseiya Public Campsite,,,,,camp_site
9281310274,Mara West Lodge & Campsite,,,,,camp_site
408799985,Kisumu National Museum,,,,,museum
413939836,Abasuba Community Peace Museum,,,,,museum
474970034,Olorgesailie Prehistoric Site,,,,,museum
612932024,German Post Office,,,,,museum
612932027,Lamu Museum,,,,,museum
650258722,Shimba Hills National Reserve,,,,,museum
656556828,Gede Ruins,,,,,museum
1412485445,Umoja Women Cultural Village,,,,,museum
1457775345,National Museum of Kenya- Coastal Forest Conservation Unit,,,,,museum
2983360582,Athletics Museum,,,,,museum
3702721540,Elben Historical Site,,,,,museum
4499372144,House of Columns,Malindi,Malindi,,Silversand Road,museum
5063910504,African Adventist Heritage Musuem,,,,,museum
5128771373,Desert Museum - Loiyangalani,Loiyangalani,Loiyangalani,,,museum
5464606635,Kipsaraman Museum,,,,,museum
5555073980,The Judiciary Museum,Nairobi,Nairobi,,City Hall Way,museum
5555704197,Uhuru Park Museum,Nairobi,Nairobi,,Processional Way,museum
6058009844,Colobus Conservation,Diani Beach,Diani Beach,,Diani Beach Road,museum
6106202817,Kitale Museum,Kitale,Kitale,,Kwanza-Kapenguria Road,museum
6115629922,Narok Museum,Narok,Narok,,Kaplong-Narok-Maai Road,museum
6134851705,Meru Museum,Meru,Meru,,Meru-Nairobi Highway,museum
6241666245,Mumias Cultural Center,Mumias,Mumias,,Mumias-Bungoma Road,museum
6808015986,African Heritage House,Mlolongo,Mlolongo,,Mombasa Road,museum
408799985,Kisumu National Museum,,,,,museum
413939836,Abasuba Community Peace Museum,,,,,museum
474970034,Olorgesailie Prehistoric Site,,,,,museum
612932024,German Post Office,,,,,museum
612932027,Lamu Museum,,,,,museum
650258722,Shimba Hills National Reserve,,,,,museum
656556828,Gede Ruins,,,,,museum
1412485445,Umoja Women Cultural Village,,,,,museum
1457775345,National Museum of Kenya- Coastal Forest Conservation Unit,,,,,museum
2983360582,Athletics Museum,,,,,museum
3702721540,Elben Historical Site,,,,,museum
4499372144,House of Columns,Malindi,Malindi,,Silversand Road,museum
5063910504,African Adventist Heritage Musuem,,,,,museum
5128771373,Desert Museum - Loiyangalani,Loiyangalani,Loiyangalani,,,museum
5464606635,Kipsaraman Museum,,,,,museum
5555073980,The Judiciary Museum,Nairobi,Nairobi,,City Hall Way,museum
5555704197,Uhuru Park Museum,Nairobi,Nairobi,,Processional Way,museum
6058009844,Colobus Conservation,Diani Beach,Diani Beach,,Diani Beach Road,museum
6106202817,Kitale Museum,Kitale,Kitale,,Kwanza-Kapenguria Road,museum
6115629922,Narok Museum,Narok,Narok,,Kaplong-Narok-Maai Road,museum
6134851705,Meru Museum,Meru,Meru,,Meru-Nairobi Highway,museum
6241666245,Mumias Cultural Center,Mumias,Mumias,,Mumias-Bungoma Road,museum
6808015986,African Heritage House,Mlolongo,Mlolongo,,Mombasa Road,museum
408799985,Kisumu National Museum,,,,,museum
413939836,Abasuba Community Peace Museum,,,,,museum
474970034,Olorgesailie Prehistoric Site,,,,,museum
612932024,German Post Office,,,,,museum
612932027,Lamu Museum,,,,,museum
650258722,Shimba Hills National Reserve,,,,,museum
656556828,Gede Ruins,,,,,museum
1412485445,Umoja Women Cultural Village,,,,,museum
1457775345,National Museum of Kenya- Coastal Forest Conservation Unit,,,,,museum
2983360582,Athletics Museum,,,,,museum
3702721540,Elben Historical Site,,,,,museum
4499372144,House of Columns,Malindi,Malindi,,Silversand Road,museum
5063910504,African Adventist Heritage Musuem,,,,,museum
5128771373,Desert Museum - Loiyangalani,Loiyangalani,Loiyangalani,,,museum
5464606635,Kipsaraman Museum,,,,,museum
5555073980,The Judiciary Museum,Nairobi,Nairobi,,City Hall Way,museum
5555704197,Uhuru Park Museum,Nairobi,Nairobi,,Processional Way,museum
6058009844,Colobus Conservation,Diani Beach,Diani Beach,,Diani Beach Road,museum
6106202817,Kitale Museum,Kitale,Kitale,,Kwanza-Kapenguria Road,museum
6115629922,Narok Museum,Narok,Narok,,Kaplong-Narok-Maai Road,museum
6134851705,Meru Museum,Meru,Meru,,Meru-Nairobi Highway,museum
6241666245,Mumias Cultural Center,Mumias,Mumias,,Mumias-Bungoma Road,museum
6808015986,African Heritage House,Mlolongo,Mlolongo,,Mombasa Road,museum
296963402,Great Rift Valley,,,,,viewpoint
413574643,Kaparatania View Point,,,,,viewpoint
415895276,Baboon Cliff View Point,,,,,viewpoint
415999307,Subukia View Point,,,,,viewpoint
472267376,Makalia Falls viewpoint,,,,,viewpoint
474645242,Impala_observation_point,,,,,viewpoint
474973856,Corner baridi,,,,,viewpoint
474973921,ngong_top,,,,,viewpoint
474974150,ngong_south,,,,,viewpoint
550657689,View point Baringo,,,,,viewpoint
586541177,Swamp,,,,,viewpoint
611260685,Noomotio Observation Point,,,,,viewpoint
646670122,Kalango Hill,,,,,viewpoint
1172744885,Hippo Point,,,,,viewpoint
1172857709,River view,,,,,viewpoint
1263309764,Judgemnt cliff,,,,,viewpoint
1645650029,Fourteen Falls,,,Bing,,viewpoint
1711168498,Mudanda Rock,,,,,viewpoint
1711184846,Lugard Falls,,,GPS,,viewpoint
1938098187,viewpoint,,,,,viewpoint
2050473262,Mahi Mahiu Longonot View Point,,,,Nairobi-Nakuru Road,viewpoint
2050473273,Rift Valley View Point,,,,Nairobi-Nakuru Road,viewpoint
2144689279,Equator,,,,,viewpoint
2185510664,Thompson's Falls,,,,,viewpoint
2365509464,Lions Rock,,,,,viewpoint
2365605705,Kudu Lookout,,,,,viewpoint
3269152393,Forest canopy tower (unsafe),,,GPS track,,viewpoint
3294367508,Monkey Rock,,,,,viewpoint
4086114073,KAY-EM HOUSE,,,,,viewpoint
4089553849,Crocdile Point,,,,,viewpoint
4313392593,Sundowner/ Sunrise Spot,,,,,viewpoint
4313428090,Sundowner Spot,,,,,viewpoint
4313473590,Lgoita Rocks Sundowner Spot,,,,Kalama Conservancy,viewpoint
4315672390,Viewpoint,,,,,viewpoint
4318406792,Lowa Mara Viewpoint,,,,Samburu National Reserve,viewpoint
4328204226,Lake Paradise Viewpoint,,,,,viewpoint
4349420604,Hobley's Volcano Viewpoint,,,,,viewpoint
4349443589,Lion HIll Viewpoint,,,,,viewpoint
4472263286,Mukogodo Forest Nikijabe Viewpoint,,,,,viewpoint
4472388114,Crater lake Viewpoint,,,,,viewpoint
4537892992,View on lake,,,,,viewpoint
4549525040,Kassup waterfall viewpoint,,,,,viewpoint
4549525428,Great Rift Valley Viewpoint,,,,,viewpoint
4549724876,Great Rift Valley Viewpoint,,,,,viewpoint
4577042890,Nyari Viewpoint,,,,,viewpoint
4622788890,Olorgesailie Bridge,,,,,viewpoint
4647951149,Nzambani Rock,,,,,viewpoint
4801431617,Lake Chala Viewpoint with lake access,,,,,viewpoint
4854331044,Lake view point,,,,,viewpoint
4908482622,3rd World Viewpoint,,,,,viewpoint
5007235481,Roaring Rocks Viewpoint,,,,Tsavo West National Park,viewpoint
5007242292,Poachers Lookout,,,,Tsavo West National Park,viewpoint
5024897131,equator,,,,,viewpoint
5042592880,Solomon's Viewpoint,,,,,viewpoint
5064859525,Sundowner Spot,,,,,viewpoint
5105891015,Equator,,,,,viewpoint
5105891016,Equator,,,,,viewpoint
5151569318,Lion Rock,,,,,viewpoint
5153085565,Horned Viper Rock,,,,,viewpoint
5181218452,Kamburu_Dam_Viewpoint,,,,,viewpoint
5327136830,Muchingoi Viewpoint,,,,,viewpoint
5518735167,Lake Viewpoint,,,,,viewpoint
5524593034,Shaba Main Viewpoint,,,,,viewpoint
5525043423,River Viewpoint,,,,,viewpoint
5525044473,River Viewpoint,,,,,viewpoint
5606918872,Sunset Viewpoint,,,,,viewpoint
5748678821,River Viewpoint JF,,,,,viewpoint
5748679021,Sunrise viewpoint,,,,,viewpoint
6054224728,Nyani Rock Viewpoint,,,,,viewpoint
6054253568,Laragai Viewpoint,,,,,viewpoint
6362111747,Sundowner Viewpoint,,,,,viewpoint
6364919885,Flamingo Viewpoint,,,,,viewpoint
6374279940,Ngong viewpoint,,,,,viewpoint
6505884885,Birds view stp,,,,,viewpoint
6505885085,Upper Lake view stp,,,,,viewpoint
6532248685,Hippos and crocodiles view stp,,,,,viewpoint
6578600085,Incredible view,,,,,viewpoint
6909462285,Lirhanda Hill,,,,,viewpoint
7132875085,Lesiolo valley,,,,,viewpoint
8319498148,Lake Bogoria viewpoint,,,,,viewpoint
8483709320,Canyon human made,,,,,viewpoint
8483709321,Zebra and giraffe free safari,,,,,viewpoint
8483709917,Waterfall forest and tea plantations view,,,,,viewpoint
8524673918,"Waterfall viewpoint, nice trail",,,,,viewpoint
8524674817,Another fall!,,,,,viewpoint
8524674917,Awesome view on top of the rocks,,,,,viewpoint
8598104217,Little waterfalls and good view,,,,,viewpoint
8598104218,View on torok falls during the climb,,,,,viewpoint
8628573425,Kolsungur summit (cross) 3160m,,,,,viewpoint
9283502265,Viewpoint,,,,,viewpoint
9330310717,Kwa DA SHAMSA LIKONI,,,,,viewpoint
9330310917,MoonQue House,,,,,viewpoint
9330310918,Pungu villa,,,,,viewpoint
344967733,Jungle Snake Park,,,,,zoo
650087603,Haller Park,,,,,zoo
5520651623,Chimpanzee Enclosure,,,,,zoo
